iter	Passed	Remaining
990	2057	18
991	2059	16
992	2062	14
993	2064	12
994	2067	10
995	2069	8
996	2072	6
997	2074	4
998	2076	2
999	2078	0
	2
999	2056	0
9
949	4651	244
950	4653	239
951	4655	234
952	4657	229
953	4660	224
954	4662	219
955	4665	214
956	4667	209
957	4669	204
958	4672	199
959	4674	194
960	4676	189
961	4679	184
962	4681	179
963	4683	174
964	4685	169
965	4688	165
966	4690	160
967	4693	155
968	4696	150
969	4698	145
970	4700	140
971	4703	135
972	4705	130
973	4708	125
974	4710	120
975	4713	115
976	4715	111
977	4717	106
978	4720	101
979	4722	96
980	4725	91
981	4727	86
982	4729	81
983	4731	76
984	4734	72
985	4737	67
986	4739	62
987	4741	57
988	4743	52
989	4746	47
990	4748	43
991	4751	38
992	4753	33
993	4756	28
994	4758	23
995	4760	19
996	4763	14
997	4764	9
998	4767	4
999	4769	0
