iter	Logloss
0	0.6882471196
1	0.6839416656
2	0.6797886055
3	0.6756800883
4	0.6715356982
5	0.6672817171
6	0.6625157034
7	0.6582977145
8	0.6548016977
9	0.6510255615
10	0.6471061517
11	0.6430960258
12	0.6393600497
13	0.6359746969
14	0.6326589477
15	0.6286799027
16	0.6247032404
17	0.6204406133
18	0.6174971802
19	0.6140418457
20	0.6100913477
21	0.6069457359
22	0.6031406372
23	0.6003346724
24	0.5964977397
25	0.5937497195
26	0.5900143986
27	0.5869482855
28	0.584210668
29	0.5813242315
30	0.5786464398
31	0.5771999437
32	0.5740368323
33	0.5715272151
34	0.569047228
35	0.5661575521
36	0.5635907902
37	0.5605392304
38	0.5579407261
39	0.5554895697
40	0.5527100112
41	0.5503036375
42	0.5477056292
43	0.545007382
44	0.5425637582
45	0.54009602
46	0.5376532966
47	0.5353224713
48	0.5330493124
49	0.5307019636
50	0.5285775004
51	0.5266019806
52	0.5245723438
53	0.5224641944
54	0.5204090522
55	0.5180470088
56	0.516560155
57	0.5141175849
58	0.5118636513
59	0.5100097619
60	0.5076258829
61	0.5052842347
62	0.503219896
63	0.5014674498
64	0.5000456681
65	0.4979927031
66	0.4969487985
67	0.4951046516
68	0.4935165422
69	0.4915980514
70	0.4908166111
71	0.4894619002
72	0.4883372339
73	0.4869241857
74	0.4855276106
75	0.4838505452
76	0.4821008312
77	0.4807722661
78	0.4789376368
79	0.4779698743
80	0.4773461866
81	0.4757865266
82	0.473987667
83	0.4734392205
84	0.4720411223
85	0.4707575299
86	0.4693528222
87	0.4684718813
88	0.4669842092
89	0.4658604789
90	0.4643789591
91	0.4629334089
92	0.4618894147
93	0.460782052
94	0.4591825317
95	0.4578557942
96	0.456632187
97	0.4555179674
98	0.4544808434
99	0.4533461108
100	0.4522039906
101	0.4507292668
102	0.4502359911
103	0.4493120417
104	0.448133642
105	0.4469819452
106	0.4459231118
107	0.4451646694
108	0.444526854
109	0.4432760929
110	0.4420478118
111	0.4416500883
112	0.4405191764
113	0.4396024987
114	0.4388877798
115	0.4384319109
116	0.437872344
117	0.4369169409
118	0.4361450396
119	0.4354206949
120	0.4347741865
121	0.4337257185
122	0.4326586809
123	0.4317143612
124	0.4310158786
125	0.4302950361
126	0.4294583944
127	0.4284206622
128	0.4275520741
129	0.4265669244
130	0.4260930551
131	0.4250450222
132	0.4241985573
133	0.4232370331
134	0.4225861462
135	0.4218563053
136	0.4208993644
137	0.420173334
138	0.4192311399
139	0.4186479402
140	0.4180040028
141	0.4172390248
142	0.4164632938
143	0.4159605508
144	0.4150864589
145	0.4143633494
146	0.4135184699
147	0.4127319131
148	0.4119492611
149	0.4113316625
150	0.4106496821
151	0.4102310623
152	0.4095246753
153	0.4087679852
154	0.4081219044
155	0.4074760336
156	0.4066693063
157	0.406287472
158	0.4056224434
159	0.4054356922
160	0.4047320398
161	0.4040922573
162	0.4033233214
163	0.402544937
164	0.4019639033
165	0.4012327672
166	0.4005904112
167	0.4000143932
168	0.399217696
169	0.3987777802
170	0.398130388
171	0.3973805645
172	0.3969853143
173	0.3964675719
174	0.396020115
175	0.3954270198
176	0.395027174
177	0.3944445115
178	0.3939902066
179	0.3936828953
180	0.3930926364
181	0.3924921276
182	0.3921693386
183	0.3918712229
184	0.3914970409
185	0.3908169735
186	0.3903616194
187	0.3901139382
188	0.3896715878
189	0.3893576452
190	0.3890693289
191	0.3886272269
192	0.3883936234
193	0.3880811612
194	0.3876933228
195	0.3873443975
196	0.3866203764
197	0.3860461673
198	0.3856106454
199	0.3855081744
200	0.3850009165
201	0.3842735501
202	0.3839991616
203	0.3837025084
204	0.3832408175
205	0.3830057502
206	0.3824939481
207	0.3821877322
208	0.3819693776
209	0.38170423
210	0.3813543554
211	0.3810100457
212	0.3805049243
213	0.3803377551
214	0.3799536481
215	0.3797476704
216	0.3796183973
217	0.3792543166
218	0.3789667689
219	0.3788373721
220	0.3787962935
221	0.3783819865
222	0.3779008814
223	0.3775465622
224	0.3774117865
225	0.3770285882
226	0.3764789276
227	0.3760807702
228	0.3756398073
229	0.375200251
230	0.3746326311
231	0.3744135382
232	0.3741471371
233	0.3737601397
234	0.3734907855
235	0.3732569115
236	0.3727965078
237	0.3725961533
238	0.3723625293
239	0.3721730553
240	0.3718830739
241	0.3716432225
242	0.3713261038
243	0.3710846481
244	0.3707358005
245	0.370395804
246	0.369938329
247	0.3696254371
248	0.3692690891
249	0.3687788548
250	0.368340157
251	0.3679593436
252	0.3677684946
253	0.367392261
254	0.3672446926
255	0.3669944126
256	0.3668497425
257	0.3663764125
258	0.3661040865
259	0.3659605857
260	0.365800068
261	0.3654877328
262	0.3652643119
263	0.3650851934
264	0.3649151032
265	0.3646666275
266	0.364411448
267	0.3641823719
268	0.3641266087
269	0.3638730244
270	0.363639556
271	0.3634077198
272	0.3630248949
273	0.3626657912
274	0.3624697398
275	0.3623310255
276	0.3620734865
277	0.3619460083
278	0.3618106307
279	0.3615801514
280	0.3613341095
281	0.3610942319
282	0.3608945083
283	0.3606712526
284	0.3603826418
285	0.3601791328
286	0.3599826452
287	0.3596121329
288	0.3593678991
289	0.359020757
290	0.3586884315
291	0.3585639449
292	0.3583921013
293	0.3581476158
294	0.3580750663
295	0.3575845101
296	0.3573595604
297	0.3571333138
298	0.3570976978
299	0.3567857724
300	0.3565656029
301	0.3563231349
302	0.3560551769
303	0.355650667
304	0.3555714828
305	0.3553558075
306	0.3552486155
307	0.355028097
308	0.3547197463
309	0.3546053502
310	0.3543849766
311	0.3540794818
312	0.3538897111
313	0.3536729171
314	0.3535050161
315	0.3533823072
316	0.3531490035
317	0.3529470324
318	0.3527569462
319	0.3524765363
320	0.3521126934
321	0.3518539566
322	0.3514774082
323	0.3513186715
324	0.350952339
325	0.3508528948
326	0.3505412448
327	0.3504454626
328	0.3502495042
329	0.350060734
330	0.3498461511
331	0.3496890936
332	0.3495734487
333	0.3493715129
334	0.3492814286
335	0.3491668688
336	0.349012837
337	0.3487144825
338	0.3484103902
339	0.3480931584
340	0.3480520826
341	0.347641073
342	0.3475776824
343	0.3473640836
344	0.3472728299
345	0.3469923666
346	0.3468967278
347	0.346695913
348	0.3464081249
349	0.3463408007
350	0.3462099642
351	0.3461417809
352	0.3458406599
353	0.3458029459
354	0.3457744451
355	0.3456716206
356	0.3454363133
357	0.3452034711
358	0.3448536091
359	0.3446329789
360	0.3444098128
361	0.3441986949
362	0.3441157722
363	0.3439351747
364	0.3438811483
365	0.3437659411
366	0.3434307914
367	0.3432785683
368	0.3429818963
369	0.3428747894
370	0.3426575002
371	0.3424197432
372	0.3423043388
373	0.3421368421
374	0.3421229544
375	0.3419109977
376	0.3417839617
377	0.3414517111
378	0.3413662286
379	0.3411885232
380	0.3411474891
381	0.3409807146
382	0.3407986078
383	0.3404808819
384	0.340422041
385	0.3402551974
386	0.3401173222
387	0.3396578374
388	0.3395164985
389	0.339135733
390	0.3389665323
391	0.3387327023
392	0.3385395695
393	0.338492394
394	0.3382558194
395	0.3380789898
396	0.3378539407
397	0.3375375516
398	0.3373956629
399	0.3370924601
400	0.3370185285
401	0.3367693172
402	0.3367540245
403	0.3365292653
404	0.3362041958
405	0.3361514028
406	0.3359938872
407	0.3359289162
408	0.3358334017
409	0.335616712
410	0.3354048576
411	0.3352428757
412	0.3350769481
413	0.334981301
414	0.3348059116
415	0.3346586768
416	0.3343866932
417	0.3342454014
418	0.3339545038
419	0.3337666802
420	0.3335623578
421	0.3333754498
422	0.3331485901
423	0.3330052779
424	0.3328771028
425	0.3326374661
426	0.332580103
427	0.3323103934
428	0.3321642266
429	0.3319824193
430	0.3318335474
431	0.3317111349
432	0.331500045
433	0.3312743177
434	0.3311536842
435	0.3310276807
436	0.3310063501
437	0.3309689904
438	0.330648693
439	0.3306092023
440	0.3304551117
441	0.3302537476
442	0.330120533
443	0.329966496
444	0.3297812408
445	0.3296079843
446	0.3294814046
447	0.3293647861
448	0.3292055038
449	0.3290924979
450	0.3289423972
451	0.3288721275
452	0.3288435609
453	0.3285125392
454	0.3283910991
455	0.3282753888
456	0.3282385199
457	0.3280383794
458	0.327685928
459	0.3275867422
460	0.3274937363
461	0.3273200683
462	0.3272254316
463	0.3271370311
464	0.3269138303
465	0.3267790171
466	0.3265777939
467	0.3264253694
468	0.3263674585
469	0.3261834202
470	0.3261003493
471	0.3260845306
472	0.3259299651
473	0.3257436047
474	0.3255719635
475	0.3254266792
476	0.3252764818
477	0.3251756773
478	0.324946759
479	0.3248580301
480	0.3248416693
481	0.3247864783
482	0.3246114316
483	0.3244185274
484	0.3242665323
485	0.3242220683
486	0.3241562132
487	0.323931639
488	0.3237313889
489	0.3237041563
490	0.3234601709
491	0.3233531071
492	0.3232537358
493	0.323053959
494	0.3230152683
